informasjonstype,navn,ingress,beskrivelse,kontekstavhengig_beskrivelse,normeringsniva,eif_niva,status,samhandlingstjenester,ansvarlig,dokumenttype,referanse_lenketekst,referanse_url
"Krav og prinsipper ","Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk",,"Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.",,,"Organisatorisk, Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/Brukerveiledninger/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf"
"Kodeverk og terminologi ","Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk",,"Beskrivelse av kodeverk som brukes i forbindelse med kritisk informasjon i kjernejournal. Dokumentet eies av Norsk Helsenett.",,,"Semantisk","Eksisterer","Pasientens kritiske informasjon","Norsk helsenett (NHN)",,"Kritisk informasjon i kjernejournal - klinisk beskrivelse og kodeverk (PDF) (nhn.no)","https://www.nhn.no/tjenester/kjernejournal/Brukerveiledninger/IE-2006_kritisk%20informasjon_Klinisk%20beskrivelse%20og%20kodeverk_.pdf"
"Fortolkning "," Kjernejournals formål og forholdet til helsepersonelloven §§ 25 b og 29 c ",,"Dokumentet det er lenket til under inneholder en juridisk vurdering av bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen.",,,"Juridisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Fortolkning - spørsmål om bruk av opplysninger i kjernejournal der formålet er å yte helsehjelp til en annen pasient eller til egen læring og kvalitetssikring av helsehjelpen, jf. helsepersonelloven §§ 25 b og 29 c (PDF)","https://www.helsedirektoratet.no/tema/digital-deling-av-helseopplysninger/Fortolkning%20-%20sp%C3%B8rsm%C3%A5l%20om%20bruk%20av%20opplysninger%20i%20kjernejournal%20der%20form%C3%A5let%20er%20%C3%A5%20yte%20helsehjelp%20til%20en%20annen%20pasient%20eller%20til%20egen%20l%C3%A6ring%20og%20kvalitetssikring.pdf/_/attachment/inline/cfa85b09-9a60-4772-891e-0fb6fed65e3f:753f25e56e9f7b88450ddc59d6e0b8e278138ab9/Fortolkning%20-%20sp%C3%B8rsm%C3%A5l%20om%20bruk%20av%20opplysninger%20i%20kjernejournal%20der%20form%C3%A5let%20er%20%C3%A5%20yte%20helsehjelp%20til%20en%20annen%20pasient%20eller%20til%20egen%20l%C3%A6ring%20og%20kvalitetssikri.pdf"
"Fortolkning "," Juridisk vurdering av dokumentdeling via kjernejournal (pasientens journaldokumenter)",,"Vurderingene det er lenket til under redegjør for hjemmelsgrunnlaget for dokumentdeling via kjernejournal (pasientens journaldokumenter). I tillegg fastslås rekkevidden av de deltakende virksomhetenes dataansvar og den betydning dette har for virksomhetenes plikt til å vurdere risiko, sørge for at det iverksettes tilstrekkelige informasjonssikkerhetstiltak og ivareta den registrertes rettigheter.",,,"Juridisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Juridisk vurdering av Pasientens journaldokumenter (fortolkning av Direktoratet for e-helse og Helsedirektoratet, uttalelse fra Helse- og omsorgsdepartementet) (PDF)","https://www.helsedirektoratet.no/tema/digital-deling-av-helseopplysninger/Juridisk%20vurdering%20av%20og%20uttalelse%20om%20dokumentdeling%20via%20kjernejournal.pdf/_/attachment/inline/6b8f5adc-260a-45d4-a8af-4d0ae383e4fc:e0fefc58782aed7bc6d462cac671fb39744f83fc/Juridisk%20vurdering%20av%20og%20uttalelse%20om%20dokumentdeling%20via%20kjernejournal.pdf"
"Informasjonstjeneste ","Pasientens journaldokumenter","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens journaldokumenter, med lenker til sider og dokumenter der disse er publisert.","Pasientens journaldokumenter er en samhandlingstjeneste for å gi innsyn i dokumenter via kjernejournal for helsepersonell og via Helsenorge for innbyggere.  Eksempler er epikriser, sammenfatninger, prøvesvar og henvisninger.",,,"Organisatorisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,,
"Informasjonstjeneste ","Pasientens prøvesvar","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens prøvesvar, med lenker til sider og dokumenter der føringer er publisert.","Pasientens prøvesvar gjør det mulig å tilgjengeliggjøre laboratorie- og bildediagnostiske prøvesvar på tvers av behandlingsnivåer, uavhengig av hvem som har bestilt undersøkelsen og hvor i landet den er utført.

Det er vedtatt endringer i pasientjournalloven § 13 femte ledd og kjernejournalforskriften som legger til rette for at pasientens prøvesvar tas inn som en del av kjernejournal.",,,"Organisatorisk","Under utvikling","Pasientens prøvesvar","Helsedirektoratet",,,
"Informasjonstjeneste ","Pasientens kritiske informasjon","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens kritiske informasjon, med lenker til sider og dokumenter der disse er publisert.","Pasientens kritiske informasjon og deling i kjernejournal er en samhandlingstjeneste. Kritisk informasjon er opplysninger som kan være avgjørende for valg av riktig helsehjelp til pasienten. Hvis denne informasjonen mangler, kan det føre til feil eller forsinket helsehjelp.",,,"Organisatorisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,,
"Lov ","Veiledning om rettslige rammer for pasientens journaldokumenter",,,,,"Juridisk","Eksisterer","Pasientens journaldokumenter","Helsedirektoratet",,"Veiledning om rettslige rammer for pasientens journaldokumenter","https://www.helsedirektoratet.no/digitalisering-og-e-helse/pasientens-journaldokumenter-pjd/rettslige-rammer-for-pasientens-journaldokumenter"
"Lov ","Oversikt over gjeldende lover og forskrifter for kritisk informasjon i kjernejournal",,,,,"Juridisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Oversikt over gjeldende lover og forskrifter for kritisk informasjon i kjernejournal","https://www.helsedirektoratet.no/digitalisering-og-e-helse/kritisk-informasjon-i-kjernejournal/kritisk-informasjon-i-kjernejournal--gjeldende-regelverk"
"Krav og prinsipper ","Nasjonal faglig retningslinje for svangerskapsomsorgen",,"Retningslinjen setter en standard for et faglig forsvarlig tilbud til gravide uten komplikasjoner og risiko.",,,"Organisatorisk","Eksisterer","Digitalt helsekort for gravide","Helsedirektoratet",,"Nasjonal faglig retningslinje for svangerskapsomsorgen","https://www.helsedirektoratet.no/retningslinjer/svangerskapsomsorgen"
"Teknisk grensesnitt ","Dokumentasjon av API og FHIR for pasientens prøvesvar",,"Teknisk informasjon om FHIR-ressurser og grensesnitt for pasientens prøvesvar.",,,"Teknisk","Eksisterer","Pasientens prøvesvar","Norsk helsenett (NHN)",,"Dokumentasjon av API og FHIR for pasientens prøvesvar (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/pasientens-proevesvar/"
"Samhandlingskomponent ","Nasjonalt koblingspunkt (Clinical Affinity Domain / XCA Gateway)",,"Koblingspunkt som gjør det mulig for lokale/regionale koblingspunkter å spørre om og hente dokumenter på tvers av samarbeidsområder uten å kontakte de ulike koblingspunktene direkte.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Det enkelte samarbeidsområdet",,"Målarkitektur for dokumentdeling","https://www.helsedirektoratet.no/faglige-rad/malarkitektur-for-dokumentdeling/malarkitektur-for-dokumentdeling.pdf/"
"Samhandlingskomponent ","HelseID",,"HelseID er en felles påloggingsløsning for helse- og omsorgssektoren.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Pasientens legemiddelliste, Digitalt helsekort for gravide","Norsk helsenett (NHN)",,"Informasjon om HelseID (nhn.no)","https://www.nhn.no/tjenester/helseid"
"Fortolkning ","Vurdering av plikt til å overføre sperringer satt i lokal EPJ til nasjonal kjernejournal",,"Helsedirektoratet vurderer at dataansvarlige virksomheter må legge til rette for at helsepersonell som melder opplysninger til kjernejournal har oversikt over om det foreligger tilgangsbegrensninger i egne pasientjournalsystemer og andre fagsystemer som er relevante. Dette for at helsepersonell kan ta hensyn til disse ved deling i kjernejournal, i samråd med pasienten. Les mer om bakgrunnen og begrunnelsen i lenken under.",,,"Juridisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Vurdering av plikt til å overføre sperringer satt i lokal EPJ til nasjonal kjernejournal (PDF)","https://www.helsedirektoratet.no/digitalisering-og-e-helse/kritisk-informasjon-i-kjernejournal/kritisk-informasjon-i-kjernejournal--gjeldende-regelverk/_/attachment/inline/2e171504-ba00-49dd-b78c-f930ef9f7d3e:0fd00718b5fd6c37a31e2f0af3e5b424d4960adb/Vurdering%20av%20plikt%20til%20%C3%A5%20overf%C3%B8re%20sperringer%20satt%20i%20lokal%20EPJ%20til%20nasjonal%20kjernejournal.pdf"
"Fortolkning ","Behandlingsrettede helseregistre - pasientjournalloven § 7",,"Fortolkningen legger til grunn at pasientjournalloven § 7 oppstiller funksjonelle krav og ikke legger tekniske føringer for hvordan virksomheter innretter og forvalter sine behandlingsrettede helseregistre. Dette åpner for duplisering av opplysninger når dette er hensiktsmessig for å best mulig kunne oppfylle de krav loven oppstiller, bl.a krav til tilgjengeliggjøring. Selve oppgaven med å tilgjengeliggjøre helseopplysningene kan dermed også settes ut til en databehandler.",,,"Juridisk","Eksisterer","Pasientens måledata","Helsedirektoratet",,"Juridisk vurdering av om helseopplysninger i egne behandlingsrettede helseregister kan dupliseres internt for å kunne tilgjengeliggjøres for helsepersonell i andre virksomheter ved ytelse av helsehjelp (PDF)","https://www.helsedirektoratet.no/tema/digital-deling-av-helseopplysninger/Behandlingsrettede%20helseregistre%20-%20pasientjournalloven%20%C2%A7%207.pdf/_/attachment/inline/ec3d5b9e-b09b-4759-91e2-572624e6b939:6164225fd693b24ae4fd5ea84804da6f9b929797/Behandlingsrettede%20helseregistre%20-%20pasientjournalloven%20%C2%A7%207%20(L)(2343644).pdf"
"Informasjonstjeneste ","Pasientens måledata","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens måledata, med lenker til sider og dokumenter der føringer er publisert.","Pasientens måledata samler og tilgjengeliggjør medisinske måledata for pasienter som er i behandling og har tett oppfølging av ulike aktører på tvers av helse- og omsorgstjenesten. Tjenesten er utviklet av Norsk helsenett og tilbys som en oppslagstjeneste. Beskrivelse av tiltaket pasientens måledata. Se oversikt over pågående og planlagte aktiviteter for pasientens måledata i veikart for nasjonal e-helsestrategi.",,,"Organisatorisk","Under utvikling","Pasientens måledata",,,,
"Informasjonstjeneste ","Pasientens legemiddelliste","Her får du oversikt over krav og anbefalinger som gjelder for samhandlingstjenesten pasientens legemiddelliste, med lenker til sider og dokumenter der føringer er publisert.","Pasientens legemiddelliste skal inneholde en samlet og oppdatert oversikt over hvilke reseptbelagte legemidler pasienten bruker, og andre legemidler når det er relevant. Beskrivelse av tiltaket pasientens legemiddelliste. Se oversikt over pågående og planlagte aktiviteter for pasientens legemiddelliste i veikart for nasjonal e-helsestrategi.",,,"Organisatorisk","Under utvikling","Pasientens legemiddelliste","Helsedirektoratet",,,
"Fortolkning ","Helautomatisert utlevering av helseopplysninger fra kjernejournal til helsevirksomhetenes pasientjournaler",,"Helsedirektoratet vurderer at helautomatisk utlevering av helseopplysninger fra nasjonal kjernejournal til lokale pasientjournaler mangler rettslig grunnlag i pasientjournalloven § 13 fjerde ledd. En slik behandling av pasientens helseopplysninger vil også være i strid med mottakers behandlingsgrunnlag, fordi helsepersonellets dokumentasjonsplikt setter rammer for hvilke opplysninger som skal dokumenteres og lagres i pasientens journal. Les mer om bakgrunnen og begrunnelsen i lenken under.",,,"Juridisk","Eksisterer","Pasientens kritiske informasjon","Helsedirektoratet",,"Helautomatisert utlevering av helseopplysninger fra kjernejournal til helsevirksomhetenes pasientjournaler (PDF)","https://www.helsedirektoratet.no/digitalisering-og-e-helse/kritisk-informasjon-i-kjernejournal/kritisk-informasjon-i-kjernejournal--gjeldende-regelverk/_/attachment/inline/4ea698bc-65e6-432c-92f6-9380acb98d20:8e22b535b44928c9ab8d3f591abef4a78d694040/Automatisk%20utlevering%20av%20kritisk%20informasjon%20fra%20kjernejournal%20til%20lokal%20journal%20mv_%20(002).pdf"
"Samhandlingskomponent ","Sentral forskrivningsmodul - Basis API",,"SFM Basis API er tilrettelagt EPJ-systemer som har egenutviklet legemiddelmodul. SFM Basis API vil gi et forenklet og kvalitetssikret grensesnitt mellom EPJ og de sentrale registrene Reseptformidleren (RF) og Kjernejournal (KJ). ",,,"Teknisk","Eksisterer","Pasientens legemiddelliste","Norsk helsenett (NHN)",,"SFM Basis API (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/sentral-forskrivningsmodul/sfm-basis-integration"
"Krav og prinsipper ","Løsningsbeskrivelse for dokumentdeling",,"Utviklerportalen til NHN inneholder blant annet informasjon om løsningskomponenter, grensesnitt og logging for dokumentdeling.",,,"Teknisk","Eksisterer","Pasientens journaldokumenter","Norsk helsenett (NHN)",,"Løsningsbeskrivelse for dokumentdeling (nhn.no)","https://utviklerportal.nhn.no/informasjonstjenester/kjernejournal/pasientens-journaldokumenter"
"Samhandlingskomponent ","Personvernkomponenten",,"Personvernkomponenten (PVK) er en fellesløsning der en innbyggers innstillinger knyttet til personvern er lagret",,,"Teknisk","Eksisterer","Pasientens journaldokumenter, Pasientens kritiske informasjon, Digitalt helsekort for gravide","Norsk helsenett (NHN)",,"Om personvernkomponenten (nhn.no)","https://helsenorge.atlassian.net/wiki/spaces/HELSENORGE/pages/376602660/Personverninnstillinger"
"Krav og prinsipper ","Prøvesvar som kan inngå i pasientens prøvesvar i kjernejournal",,"Notatet beskriver hvilke prøvesvar som skal inngå i
pasientens prøvesvar i nasjonal kjernejournal, og hvilke som ikke skal inngå.",,,"Semantisk","Eksisterer","Pasientens prøvesvar","Helsedirektoratet",,"Prøvesvar som kan inngå i pasientens prøvesvar i kjernejournal","https://www.helsedirektoratet.no/digitalisering-og-e-helse/pasientens-provesvar/provesvar-som-kan-innga-i-pasientens-provesvar-i-kjernejournal"
